cusip,description,ytw,price_frac,coupon,maturity,years,outstanding,face,sp_rating,issuer
T6299518AT,&T Inc. 6.0% 30-APR-2056D,0.0647,0.9378,0.06,2056-04-30,29.801505817932924,1650000000.0,1000.0,BBB,"AT&T, Inc."
US206RKE1A,T&T Inc. 3.3% 01-FEB-2052,0.0645,0.6081,0.033,2052-02-01,25.557837097878167,968590000.0,1000.0,BBB,"AT&T, Inc."
T6180946AT,&T Inc. 5.7% 01-NOV-2054D,0.0644,0.9022,0.057,2054-11-01,28.306639288158795,1500000000.0,1000.0,BBB,"AT&T, Inc."
T5242098AT,&T Inc. 3.8% 01-DEC-2057D,0.0644,0.6481,0.038,2057-12-01,31.38945927446954,5920000000.0,1000.0,BBB,"AT&T, Inc."
US00206RKB,77AT&T Inc. 3.85% 01-JUN-2060D,0.0643,0.6455,0.0385,2060-06-01,33.889117043121146,1500000000.0,1000.0,BBB,"AT&T, Inc."
T4833813AT,&T Inc. 5.35% 15-DEC-2043D,0.0643,0.8876000000000001,0.0535,2043-12-15,17.426420260095824,170910000.0,1000.0,BBB,"AT&T, Inc."
T5046545AT,&T Inc. 3.65% 15-SEP-2059D,0.0641,0.6219,0.0365,2059-09-15,33.177275838466805,6500000000.0,1000.0,BBB,"AT&T, Inc."
T4833811AT,&T Inc. 5.375% 15-OCT-2041D,0.0641,0.8996999999999999,0.0538,2041-10-15,15.260780287474333,139900000.0,1000.0,BBB,"AT&T, Inc."
T5046544AT,&T Inc. 3.55% 15-SEP-2055D,0.064,0.6257,0.0355,2055-09-15,29.177275838466805,7500000000.0,1000.0,BBB,"AT&T, Inc."
US00206RKA,94AT&T Inc. 3.65% 01-JUN-2051D,0.064,0.6596,0.0365,2051-06-01,24.8870636550308,3000000000.0,1000.0,BBB,"AT&T, Inc."
,SOBQAT&T Inc. 3.5% 15-SEP-2053D,0.0638,0.6317,0.035,2053-09-15,27.17864476386037,7500000000.0,1000.0,BBB,"AT&T, Inc."
US206RDS8A,T&T Inc. 5.45% 01-MAR-2047,0.0638,0.8935,0.0545,2047-03-01,20.635181382614647,530520000.0,1000.0,BBB,"AT&T, Inc."
T6088669AT,&T Inc. 6.05% 15-AUG-2056D,0.0638,0.9459000000000001,0.0605,2056-08-15,30.094455852156056,1250000000.0,1000.0,BBB,"AT&T, Inc."
,SOBMAT&T Inc. 4.75% 15-MAY-2046,0.0637,0.8181999999999999,0.0475,2046-05-15,19.84120465434634,1870000000.0,1000.0,BBB,"AT&T, Inc."
T6299519AT,&T Inc. 5.85% 30-APR-2046D,0.0636,0.9420000000000001,0.058499999999999996,2046-04-30,19.800136892539356,1350000000.0,1000.0,BBB,"AT&T, Inc."
US206RDK5A,T&T Inc. 4.55% 09-MAR-2049,0.0636,0.784,0.0455,2049-03-09,22.65845311430527,930100000.0,1000.0,BBB,"AT&T, Inc."
US206RCG5A,T&T Inc. 4.8% 15-JUN-2044,0.0636,0.8344,0.048,2044-06-15,17.927446954141,455200000.0,1000.0,BBB,"AT&T, Inc."
US206RDJ8A,T&T Inc. 4.5% 09-MAR-2048,0.0634,0.7846,0.045,2048-03-09,21.659137577002053,1730000000.0,1000.0,BBB,"AT&T, Inc."
T4778680AT,&T Inc. 5.3% 15-AUG-2058D,0.0632,0.8599,0.053,2058-08-15,32.09308692676249,172720000.0,1000.0,BBB,"AT&T, Inc."
T6180945AT,&T Inc. 5.55% 01-NOV-2045D,0.06309999999999999,0.9153,0.0555,2045-11-01,19.307323750855577,1100000000.0,1000.0,BBB,"AT&T, Inc."
US00206RBK,77AT&T Inc. 4.35% 15-JUN-2045D,0.063,0.7854000000000001,0.0435,2045-06-15,18.926762491444215,1120000000.0,1000.0,BBB,"AT&T, Inc."
TT3668085B,ellSouth Telecommunications LLC 5.85% 15-NOV-2045D,0.0629,0.95,0.058499999999999996,2045-11-15,19.345653661875428,39800000.0,1000.0,BBB,BellSouth Telecommunications LLC
T4451563AT,&T Inc. 5.7% 01-MAR-2057D,0.06280000000000001,0.9205,0.057,2057-03-01,30.636550308008214,325480000.0,1000.0,BBB,"AT&T, Inc."
T4834260AT,&T Inc. 4.65% 01-JUN-2044D,0.06269999999999999,0.8267,0.04650000000000001,2044-06-01,17.88911704312115,470660000.0,1000.0,BBB,"AT&T, Inc."
T4833820AT,&T Inc. 4.9% 15-JUN-2042D,0.06269999999999999,0.8628,0.049,2042-06-15,15.926078028747433,134460000.0,1000.0,BBB,"AT&T, Inc."
,SOBRAT&T Inc. 5.15% 15-NOV-2046D,0.0626,0.8722,0.051500000000000004,2046-11-15,20.344969199178646,742630000.0,1000.0,BBB,"AT&T, Inc."
T4777045AT,&T Inc. 5.15% 15-FEB-2050D,0.0625,0.8631,0.051500000000000004,2050-02-15,23.59753593429158,587780000.0,1000.0,BBB,"AT&T, Inc."
XS21913055,4AT&T Inc. 3.75% 01-SEP-2050D,0.061900000000000004,0.6951999999999999,0.0375,2050-09-01,24.139630390143736,1050000000.0,1000.0,BBB,"AT&T, Inc."
US00206RCU,41AT&T Inc. 5.65% 15-FEB-2047D,0.061799999999999994,0.938,0.0565,2047-02-15,20.5968514715948,806160000.0,1000.0,BBB,"AT&T, Inc."
US00206RBH,49AT&T Inc. 4.3% 15-DEC-2042D,0.0617,0.8081,0.043,2042-12-15,16.427104722792606,1300000000.0,1000.0,BBB,"AT&T, Inc."
