,real_yield,market_erp,idio_erp,coe_real,exp_infl,coe_nominal,ticker
1986-09,2.84,3.881,7.291,14.012,3.834,17.847,NKE
1986-10,2.808,3.95,7.611,14.369,3.806,18.174,NKE
1986-11,2.878,3.959,5.62,12.457,3.786,16.243,NKE
1986-12,2.895,4.049,8.59,15.534,3.77,19.304,NKE
1987-01,2.829,3.928,8.345,15.102,3.797,18.899,NKE
1987-02,2.857,3.837,7.619,14.313,3.847,18.16,NKE
1987-03,2.9,3.816,9.429,16.145,3.921,20.066,NKE
1987-04,2.724,3.809,8.978,15.511,3.983,19.493,NKE
1987-05,2.84,3.776,6.897,13.513,3.995,17.508,NKE
1987-06,2.764,3.857,6.4,13.021,3.985,17.006,NKE
1987-07,2.861,3.875,6.336,13.072,4.012,17.083,NKE
1987-08,2.824,3.963,5.797,12.584,4.045,16.629,NKE
1987-09,2.879,3.896,5.063,11.838,4.055,15.893,NKE
1987-10,3.068,4.25,5.105,12.423,4.074,16.497,NKE
1987-11,2.908,4.732,5.425,13.065,4.078,17.143,NKE
1987-12,2.614,4.84,4.759,12.213,4.075,16.288,NKE
1988-01,2.59,4.879,4.814,12.283,4.05,16.333,NKE
1988-02,2.526,4.901,4.6,12.027,4.046,16.072,NKE
1988-03,2.632,4.895,4.602,12.129,4.048,16.177,NKE
1988-04,2.629,4.91,4.308,11.847,4.051,15.897,NKE
1988-05,2.864,4.854,3.995,11.713,4.054,15.766,NKE
1988-06,2.868,5.002,3.443,11.313,4.064,15.376,NKE
1988-07,2.709,5.061,3.353,11.123,4.08,15.203,NKE
1988-08,2.97,4.974,3.495,11.439,4.076,15.515,NKE
1988-09,2.959,4.991,3.314,11.264,4.092,15.356,NKE
1988-10,2.977,5.051,2.791,10.819,4.102,14.922,NKE
1988-11,3.103,4.943,2.684,10.73,4.106,14.836,NKE
1988-12,3.183,4.909,2.868,10.96,4.123,15.084,NKE
1989-01,3.347,4.918,2.722,10.987,4.145,15.132,NKE
1989-02,3.408,4.885,2.468,10.761,4.161,14.921,NKE
1989-03,3.419,4.784,4.038,12.241,4.175,16.415,NKE
1989-04,3.3,4.82,3.851,11.971,4.187,16.158,NKE
1989-05,3.278,4.905,3.749,11.932,4.206,16.137,NKE
1989-06,3.245,4.977,2.218,10.44,4.191,14.631,NKE
1989-07,3.241,5.018,2.181,10.44,4.175,14.615,NKE
1989-08,3.32,5.083,2.424,10.827,4.153,14.98,NKE
1989-09,3.389,5.047,3.33,11.766,4.123,15.889,NKE
1989-10,3.31,5.075,3.236,11.621,4.131,15.752,NKE
1989-11,3.274,5.044,3.18,11.498,4.14,15.637,NKE
1989-12,3.315,5.054,2.606,10.975,4.135,15.111,NKE
1990-01,3.22,4.991,3.14,11.351,4.173,15.524,NKE
1990-02,3.131,4.899,3.421,11.451,4.172,15.623,NKE
1990-03,3.271,4.831,3.368,11.47,4.163,15.633,NKE
1990-04,3.247,4.775,3.349,11.371,4.117,15.488,NKE
1990-05,3.101,4.837,3.087,11.025,4.082,15.108,NKE
1990-06,3.046,4.813,2.291,10.15,4.097,14.247,NKE
1990-07,2.959,4.789,2.85,10.598,4.1,14.698,NKE
1990-08,2.752,4.837,2.886,10.475,4.149,14.624,NKE
1990-09,2.628,4.833,3.032,10.493,4.179,14.672,NKE
1990-10,2.488,4.381,3.195,10.064,4.176,14.239,NKE
1990-11,2.555,3.855,3.333,9.743,4.159,13.902,NKE
1990-12,2.313,3.915,3.608,9.836,4.129,13.965,NKE
1991-01,2.247,3.944,3.383,9.574,4.076,13.65,NKE
1991-02,2.302,4.161,3.679,10.142,4.029,14.171,NKE
